2.31610641,
2.31133005,
2.27893013,
2.30519194,
2.30847687,
2.30819907,
2.30818883,
2.30194568,
2.31578218,
2.3144113,
1.21643542,
1.22309221,
1.2009056,
1.21736114,
1.20334557,
1.2211741,
1.21971551,
1.2157434,
1.22168864,
1.21283942,
0.79067604,
0.79045198,
0.79627972,
0.82932095,
0.78942474,
0.79408024,
0.79458383,
0.80181238,
0.77577392,
0.82964795,
0.62773414,
0.60413469,
0.58156925,
0.57610668,
0.57431286,
0.56369744,
0.56792542,
0.59492358,
0.59443074,
0.59182538,
0.46943085,
0.46870867,
0.48046883,
0.47887113,
0.47374869,
0.47946435,
0.50107689,
0.48562326,
0.47783266,
0.48236995,
0.42104691,
0.42229399,
0.4221903,
0.42019147,
0.42325209,
0.42284586,
0.42328212,
0.42403507,
0.3969602,
0.40187407,
0.40227109,
0.32444999,
0.3391177,
0.31439606,
0.32270669,
0.31618004,
0.31732418,
0.31526387,
0.34657539,
0.31794851,
0.31602135
