141,2
232,4
359,6
476,8
617,10
735,12
825,14
950,16
1055,18
1163,20
1275,22
1378,24
1493,26
1599,28
1713,30
1826,32
1916,34
2055,36
2177,38
2290,40
2404,42
2515,44
2639,46
2743,48
2815,50
2907,52
3101,54
3175,56
3311,58
3463,60
3530,62
3670,64
3779,66




