1.80271684,
2.97814044,
3.10276934,
2.76583362,
2.34641463,
2.00608089,
1.73849221,
1.47695465,
1.39055788,
1.21837672,
1.09544864,
0.97265558,
0.93550049,
0.79643598,
0.75835277,
0.72681262,
0.70072258,
0.66479171,
0.63882282,
0.62335246,
0.54357925,
0.51134024,
0.52985227,
0.45772411,
0.42578411,
0.4114466,
0.39970897,
0.35924597,
0.39955167,
0.37005416,
0.37233418,
0.36186983,
0.33959585,
0.31932208,
0.30081576,
0.29931582
