1.60988535,
3.05818393,
2.99516883,
2.79234160,
2.33899041,
2.15043721,
1.69853108,
1.47658788,
1.41809321,
1.18098658,
1.12131830,
0.97943493,
0.95864174,
0.88226725,
0.80605570,
0.72919343,
0.72136563,
0.67236235,
0.63113682,
0.55192316,
0.52801713,
0.48784288,
0.46384509,
0.40538164,
0.41810309,
0.34998403,
0.33004463,
0.35913418,
0.33058872,
0.34237034,
0.30119353,
0.30609164,
0.32095699,
0.29424247,
0.29254777,
0.30007249
