2.31708414,
2.31155976,
2.30594662,
2.31223627,
2.31704288,
2.31034721,
2.31057850,
2.31230062,
2.31136505,
2.31610924,
1.22316897,
1.22464525,
1.22154451,
1.22109301,
1.22098675,
1.22020124,
1.22143782,
1.22174191,
1.21957630,
1.21827661,
0.79918024,
0.79796899,
0.79690417,
0.80117814,
0.79560341,
0.79798971,
0.79395296,
0.79975373,
0.80231199,
0.79998821,
0.62153644,
0.62007654,
0.62207608,
0.61821220,
0.62509191,
0.62080435,
0.62325862,
0.62501501,
0.62028950,
0.61998174,
0.46821103,
0.46929950,
0.46991873,
0.46790983,
0.47217040,
0.46801079,
0.47274857,
0.46990268,
0.46591927,
0.46803076,
0.41900629,
0.42113461,
0.42105567,
0.42141999,
0.41981805,
0.41975367,
0.42150289,
0.42148601,
0.42023398,
0.42007375,
0.31900663,
0.32171594,
0.31821794,
0.31821284,
0.31970030,
0.32148898,
0.31785648,
0.31983183,
0.32130368,
0.31867167
